LeaseName,WellNumber,WellStatus,WellType,WellTypeLa,OperatorCo,OperatorNa,Latitude,Longitude
Sentous,5,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99841309,-118.3758469
C.W.O.D.,1,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99842834,-118.1657028
C.W.O.D.,5,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99842834,-118.1658401
I.W. Hellman,1,Idle,OG,Oil & Gas,6306,North Whittier Oil Co.,33.99843216,-118.0291824
Seward-Rideout,1,Plugged,OG,Oil & Gas,A0270,"Aalpha Energy, Inc.",33.99843597,-118.0499497
LAI 1,281,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.9984436,-118.3704758
Smiley,1,Plugged,OG,Oil & Gas,S3100,Shell Western E&P Inc.,33.99850082,-118.0563583
Clark,1,Idle,OG,Oil & Gas,6060,Montijo & Johnson,33.99853134,-118.0560532
Rowland,1,Plugged,OG,Oil & Gas,4486,J. W. Dietzel,33.99859619,-117.9031143
LAI 1,29,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99860764,-118.368309
BC,453,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99863434,-118.3618774
LAI 1,33,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99865723,-118.3696213
LAI 1,288,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99866104,-118.3684921
BC,6761,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99866104,-118.3618164
Baldwin-Cienega,32A,Plugged,INJ,Injection,C5640,Chevron U.S.A. Inc.,33.99871063,-118.3644714
BC,73,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99871063,-118.3597259
W. Y. Rowland,1,Plugged,OG,Oil & Gas,8396,The State Co.,33.99871445,-117.8983536
Sentous,4,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99872208,-118.3755951
LAI 1,433,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99872208,-118.3707962
LAI 1,428,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99876785,-118.3708267
Sentous,1,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99876785,-118.3753433
Turnbull Community,5,Plugged,OG,Oil & Gas,S4700,Southern California Gas Company,33.99880219,-117.9831543
LAI 1,413,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99880981,-118.3687897
LAI 1,427,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99881363,-118.3708572
Sentous,1,Plugged,OG,Oil & Gas,A4525,Atlantic Richfield Company,33.99883652,-118.3766327
I.W. Hellman,2,Idle,OG,Oil & Gas,6306,North Whittier Oil Co.,33.99884415,-118.0292511
BC,311,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99885178,-118.3664322
BC-LAI-1-LW,446,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99885178,-118.3666382
LAI 1,436,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99885178,-118.3708801
BC,302,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99885178,-118.362793
BC,63,Plugged,Multi,Multi-Purpose,S2641,Sentinel Peak Resources California LLC,33.99885941,-118.360611
Lease by Mills Petro. Co.,1,Idle,OG,Oil & Gas,5975,Mills Petro. Co.,33.99885941,-118.3752518
BC,649,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99886322,-118.3598404
LAI-BC-LW,405,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.998872,-118.368739
BC,303,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,33.99887466,-118.3626404
BC,6634,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99887848,-118.3639297
BC,142-A,Idle,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99887848,-118.3627243
BC,652,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99888229,-118.3637848
BC,285,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.998909,-118.363945
Community,1-Jan,Plugged,OG,Oil & Gas,509,"Atlas Production, Inc.",33.99892044,-118.0570755
BC,6623,Idle,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99893951,-118.3639526
LAI 1,282,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99895096,-118.3707581
LAI-Sent-Vic-LW,1,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,33.99895477,-118.3738022
Rowland,1,Plugged,DH,Dry Hole,416,"Arden Oil Co., Ltd.",33.99897766,-117.9095383
LAI 1,187,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99898529,-118.3688049
L.A.Investment 1,60,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99901199,-118.3708954
LAI-BC-LW,3,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99902344,-118.3681259
BC,53,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99903488,-118.3619003
L.A.Investment 1,46,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.9990387,-118.3736114
BC,132,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99904251,-118.3638077
LAI 1,459,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99904251,-118.3687592
LAI 1 BC,448,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99904251,-118.3681793
LAI 1,308,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99904633,-118.3716965
Sentous,1,Idle,OG,Oil & Gas,97,A. M. Kupfer,33.99905014,-118.3747177
LAI 1,180,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99905014,-118.3734055
BC,332,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99905777,-118.363884
BC,163,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99905777,-118.360054
LAI 1,447,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99907684,-118.3682327
LAI 1,5663,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99908066,-118.368782
LAI-BC-LW,407,Active,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99908829,-118.3682938
BC,22,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.9990921,-118.3657303
LAI 1,395,Active,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.9990921,-118.3689117
C.W.O.D.,13,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99909592,-118.1652908
LAI 1,252,Plugged,UNK,Unknown,S2641,Sentinel Peak Resources California LLC,33.99909592,-118.3710098
Sentous,7,Plugged,WF,Waterflood,S2641,Sentinel Peak Resources California LLC,33.99910355,-118.3747864
Lease by Whitley Oil Refining Co.,4,Idle,OG,Oil & Gas,9187,Whitley Oil Refining Co.,33.999105,-118.054769
LAI 1,133,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99915314,-118.3689041
LAI 1,20,Plugged,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99915314,-118.3725586
Sentous,6,Plugged,OG,Oil & Gas,C5640,Chevron U.S.A. Inc.,33.99915314,-118.3746719
LAI 1,195,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99916077,-118.3716278
C.W.O.D.,9,Plugged,OG,Oil & Gas,G1200,General Exploration Co.,33.99916458,-118.1652527
LAI 1,856,Canceled,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99916713,-118.3724163
LAI 1,5664,Idle,OG,Oil & Gas,S2641,Sentinel Peak Resources California LLC,33.99919128,-118.3688965
Sentous,2,Plugged,OG,Oil & Gas,A4525,Atlantic Richfield Company,33.99920273,-118.3763657
